"ID","SVG","Type"
"adventurer","adventurer","NEW"
"animal_lover","animal_lover","NEW"
"anime","gaming","MAP"
"artificial_intelligence","artificial_intelligence","NEW"
"australia","australia","NEW"
"basketball","basketball","NEW"
"bitcoin","bitcoin","NEW"
"books","book","MAP"
"brazil","brazil","NEW"
"cars","car","MAP"
"cooking","cooking","NEW"
"creative","art","MAP"
"curious","curious","NEW"
"cybersecurity","cybersecurity","NEW"
"data_science","data_science","NEW"
"deep_thinker","deep_thinker","NEW"
"entrepreneur","startup","MAP"
"ethereum","ethereum","NEW"
"extrovert","extrovert","NEW"
"fashion","fashion","NEW"
"fitness","gym","MAP"
"food","food","NEW"
"football","sports","MAP"
"funny","funny","NEW"
"ghana","ghana","NEW"
"good_vibes","good_vibes","NEW"
"hiking","travel","MAP"
"india","india","NEW"
"introvert","introvert","NEW"
"japan","japan","NEW"
"kenya","kenya","NEW"
"movies","movies","NEW"
"nature_lover","nature_lover","NEW"
"networking","world","MAP"
"nigeria","nigeria","NEW"
"open_source","open_source","NEW"
"opensource","developer","MAP"
"photography","photography","NEW"
"plants","world","MAP"
"privacy","linux","MAP"
"running","running","NEW"
"south_africa_art","south_africa","REUSE"
"surf","surf","NEW"
"surfing","surfing","NEW"
"tea","teacher","MAP"
"tennis","tennis","NEW"
"united_kingdom","united_kingdom","NEW"
"usa_art","usa","REUSE"
"vanlife","travel","MAP"
"web3","web3","NEW"
"yoga","yoga","NEW"
